trip_date,user_type,total_trips,total_trip_duration_hours,average_trip_duration_minutes
2017-06-06,Casual,268,109.71027777777778,24.56200248756219
2017-06-06,Member,2784,493.8205555555556,10.64268438697318
2017-06-13,Casual,816,400.77777777777777,29.468954248366014
2017-06-13,Member,4460,864.0788888888889,11.62437967115097
2017-06-14,Casual,1071,562.3444444444444,31.503890445066915
2017-06-14,Member,5023,984.213888888889,11.756486827261265
2017-06-15,Casual,781,323.92249999999996,24.885211267605634
2017-06-15,Member,4432,815.9211111111111,11.045863417569194
2017-06-16,Casual,1159,599.0405555555556,31.01159045153868
2017-06-16,Member,4447,849.8683333333333,11.466629188216777
2017-06-17,Casual,1811,939.9783333333332,31.142297073440087
2017-06-17,Member,2700,550.9833333333333,12.244074074074073
2017-06-18,Casual,1725,861.0111111111111,29.948212560386473
2017-06-18,Member,2134,421.6502777777778,11.855209309590753
2017-06-19,Casual,1114,509.75888888888886,27.455595451825257
2017-06-19,Member,4397,852.063888888889,11.62698051701918
2017-06-20,Casual,953,428.45222222222225,26.97495627841903
2017-06-20,Member,4509,867.0366666666666,11.537414060767354
2017-06-21,Casual,1181,635.0591666666667,32.26380186282811
2017-06-21,Member,4504,861.1327777777777,11.471573416222617
2017-06-22,Casual,1004,419.96083333333337,25.0972609561753
2017-06-22,Member,4552,872.0769444444445,11.494863063854716
2017-06-23,Casual,807,307.3575,22.851858736059476
2017-06-23,Member,3074,575.0169444444444,11.223492734764694
2017-06-24,Casual,3012,1808.6052777777777,36.02799358123063
2017-06-24,Member,3000,628.9222222222222,12.578444444444445
2017-06-25,Casual,1860,858.3738888888889,27.68948028673835
2017-06-25,Member,2396,500.05361111111114,12.522210628825821
2017-06-26,Casual,889,416.3780555555556,28.102005999250093
2017-06-26,Member,3773,700.6800000000001,11.1425390935595
2017-06-27,Casual,726,324.99666666666667,26.85922865013774
2017-06-27,Member,4107,766.6136111111111,11.19961447934421
2017-06-28,Casual,1097,568.9208333333333,31.116909753874204
2017-06-28,Member,4932,951.936111111111,11.58073127872398
2017-06-29,Casual,662,349.7019444444444,31.695040281973817
2017-06-29,Member,4073,740.6361111111111,10.9104263851379
2017-06-30,Casual,1091,546.5655555555555,30.05860067216621
2017-06-30,Member,3887,729.0702777777777,11.253979075550982
2017-07-01,Casual,3028,2053.666111111111,40.693516072214884
2017-07-01,Member,2785,587.1091666666667,12.64867145421903
2017-07-02,Casual,3523,2319.414166666667,39.50180244110133
2017-07-02,Member,3495,715.7358333333334,12.2873104434907
2017-07-03,Casual,3865,2805.5069444444443,43.55250107805089
2017-07-03,Member,4096,843.9138888888889,12.362019856770834
2017-07-04,Casual,1858,1267.5866666666666,40.933907427341225
2017-07-04,Member,6521,1222.6611111111113,11.249757194704289
2017-07-05,Casual,4734,2245.3488888888887,28.458160822419377
2017-07-05,Member,6899,1338.7255555555557,11.642779146736242
2017-07-06,Casual,2525,1402.495,33.32661386138614
2017-07-06,Member,9878,2565.034722222222,15.580287845042855
2017-07-07,Casual,1463,826.9394444444445,33.91412622465254
2017-07-07,Member,4658,890.8125,11.47461356805496
2017-07-08,Casual,3238,2693.3525,49.90770537368746
2017-07-08,Member,3207,693.6775,12.978063610851262
2017-07-09,Casual,2411,1500.6927777777778,37.3461495921471
2017-07-09,Member,2664,531.5691666666667,11.972278528528529
2017-07-10,Casual,1468,809.7336111111111,33.09537920072661
2017-07-10,Member,4848,1399.6399999999999,17.322277227722772
2017-07-11,Casual,1607,998.3791666666667,37.2761356565028
2017-07-11,Member,5545,1097.7811111111112,11.878605350165314
2017-07-12,Casual,4121,1533.1625,22.322191215724338
2017-07-12,Member,4937,927.8238888888889,11.275963810681251
2017-07-13,Casual,982,412.88027777777774,25.226900882552613
2017-07-13,Member,4350,802.5322222222222,11.069409961685825
2017-07-14,Casual,1641,982.5313888888888,35.924365224456636
2017-07-14,Member,5050,961.3713888888889,11.422234323432344
2017-07-15,Casual,4038,2715.044722222222,40.34241786362886
2017-07-15,Member,3386,760.7072222222222,13.479749950777713
2017-07-16,Casual,2713,1692.3602777777778,37.427798255313924
2017-07-16,Member,2760,570.5305555555556,12.402838164251209
2017-07-17,Casual,1434,796.9472222222223,33.3450720595072
2017-07-17,Member,5017,943.0963888888889,11.278808717028769
2017-07-18,Casual,1751,1128.1883333333333,38.658652198743575
2017-07-18,Member,5536,1110.7822222222223,12.038824662813102
2017-07-19,Casual,5363,2320.331111111111,25.959326247746908
2017-07-19,Member,5600,1080.5697222222223,11.577532738095238
2017-07-20,Casual,1322,664.3072222222222,30.150100857286937
2017-07-20,Member,5189,988.6752777777779,11.431974690049463
2017-07-21,Casual,1711,1101.5888888888887,38.62965127605688
2017-07-21,Member,5247,1137.956111111111,13.012648497554158
2017-07-22,Casual,2072,1926.8655555555556,55.797265122265124
2017-07-22,Member,2789,561.2266666666667,12.073718178558623
2017-07-23,Casual,2391,1804.0330555555556,45.27059110553464
2017-07-23,Member,2877,603.0605555555555,12.57686247248291
2017-07-24,Casual,1371,710.6780555555556,31.101884269389743
2017-07-24,Member,5006,969.786388888889,11.623488480490078
2017-07-25,Casual,1627,2535.4605555555554,93.50192583486991
2017-07-25,Member,5606,1154.8491666666666,12.360140920442383
2017-07-26,Casual,5496,2329.945833333333,25.436089883551674
2017-07-26,Member,5243,1002.4916666666667,11.472344077818043
2017-07-27,Casual,1784,989.8027777777777,33.28933109118087
2017-07-27,Member,4501,880.6738888888889,11.739709694142043
2017-07-28,Casual,2311,1441.4191666666666,37.423258329727396
2017-07-28,Member,5216,1028.2941666666668,11.828537193251533
2017-07-29,Casual,4072,2984.0641666666666,43.969511296660116
2017-07-29,Member,3406,710.3808333333333,12.51404873752202
2017-07-30,Casual,3446,2421.9088888888887,42.16904623718321
2017-07-30,Member,3049,688.3997222222222,13.546731168689186
2017-07-31,Casual,1780,1069.5208333333333,36.051264044943814
2017-07-31,Member,5211,995.6058333333333,11.463509882939935
2017-08-01,Casual,1886,1079.1383333333333,34.331018027571574
2017-08-01,Member,5589,1078.4955555555555,11.578052126200275
2017-08-02,Casual,1902,1148.0358333333331,36.2156414300736
2017-08-02,Member,7219,1413.2388888888888,11.74599436671746
2017-08-03,Casual,1746,2816.2161111111113,96.77718594883544
2017-08-03,Member,7700,1775.45,13.834675324675324
2017-08-04,Casual,1853,1145.8319444444446,37.101951789890265
2017-08-04,Member,5250,991.3972222222222,11.330253968253968
2017-08-05,Casual,3325,2204.1022222222223,39.77327318295739
2017-08-05,Member,5605,1111.896111111111,11.90254534641689
2017-08-06,Casual,4647,3469.708055555556,44.79932931640485
2017-08-06,Member,7287,1458.9047222222223,12.012389643657656
2017-08-07,Casual,1911,1363.7872222222222,42.8190650619222
2017-08-07,Member,2399,455.49055555555555,11.392010559955537
2017-08-08,Casual,1971,1079.6402777777778,32.865761880602065
2017-08-08,Member,5551,1076.5966666666668,11.636786164655016
2017-08-09,Casual,2014,1267.4175,37.75821747765641
2017-08-09,Member,5864,1157.4483333333333,11.842922919508869
2017-08-10,Casual,2296,1223.8077777777776,31.981039488966317
2017-08-10,Member,5878,1142.4288888888889,11.661404105704888
2017-08-11,Casual,1829,846.0558333333333,27.754702022963368
2017-08-11,Member,5206,983.2938888888889,11.33262261493149
2017-08-12,Casual,3099,2007.1544444444444,38.860686242874046
2017-08-12,Member,3342,716.2091666666668,12.858333333333333
2017-08-13,Casual,3845,2711.678055555555,42.31487212830516
2017-08-13,Member,3621,817.0127777777778,13.537908496732026
2017-08-14,Casual,1962,1207.6783333333333,36.93205912334353
2017-08-14,Member,5688,1541.0883333333334,16.256206047819973
2017-08-15,Casual,1694,1033.0369444444445,36.58926603699331
2017-08-15,Member,5918,1132.3080555555557,11.479973527092486
2017-08-16,Casual,2168,1331.5247222222222,36.85031519065191
2017-08-16,Member,6190,1219.8883333333333,11.824442649434571
2017-08-17,Casual,1123,525.0983333333334,28.05512021371327
2017-08-17,Member,4091,769.02,11.278709362014178
2017-08-18,Casual,1961,1241.0125,37.97080571137175
2017-08-18,Member,5695,1088.1730555555555,11.464509803921569
2017-08-19,Casual,3309,2049.2994444444444,37.15864813135892
2017-08-19,Member,3731,836.723888888889,13.455758063075136
2017-08-20,Casual,4100,4337.617222222222,63.47732520325203
2017-08-20,Member,3744,879.9544444444444,14.101834045584045
2017-08-21,Casual,2185,1596.9702777777777,43.85273073989321
2017-08-21,Member,5952,1655.5636111111112,16.689149305555556
2017-08-22,Casual,1364,534.4219444444444,23.508296676441837
2017-08-22,Member,5796,1106.502777777778,11.45448010121923
2017-08-23,Casual,2186,1400.1230555555555,38.42972705093016
2017-08-23,Member,6317,1243.1058333333335,11.80724236188064
2017-08-24,Casual,1760,1079.7911111111111,36.8110606060606
2017-08-24,Member,5977,1138.8116666666667,11.431939099882886
2017-08-25,Casual,2195,1104.8147222222221,30.199946848899014
2017-08-25,Member,5869,1109.6630555555557,11.344314761174532
2017-08-26,Casual,3890,2684.3566666666666,41.403958868894605
2017-08-26,Member,3933,833.5502777777779,12.71625137723536
2017-08-27,Casual,3237,2463.617222222222,45.6648233961487
2017-08-27,Member,3424,747.7652777777778,13.10336351246106
2017-08-28,Casual,1661,868.1705555555556,31.360766606461972
2017-08-28,Member,5582,1064.5016666666666,11.442153350053745
2017-08-29,Casual,2018,1200.1722222222222,35.68401057152296
2017-08-29,Member,6143,1151.1638888888888,11.243664876010635
2017-08-30,Casual,1766,1114.6327777777776,37.86974329935825
2017-08-30,Member,6120,1192.4108333333331,11.690302287581698
2017-08-31,Casual,1603,883.8072222222222,33.080744437513
2017-08-31,Member,6055,1122.4219444444445,11.122265345444536
2017-09-01,Casual,1626,1158.0297222222223,42.73172406724067
2017-09-01,Member,6472,1234.9794444444444,11.449129583848372
2017-09-02,Casual,3495,2361.452222222222,40.53995231282785
2017-09-02,Member,4809,948.2275000000001,11.830661260137243
2017-09-03,Casual,3245,1787.55,33.051771956856705
2017-09-03,Member,4722,866.8227777777778,11.014266553720175
2017-09-04,Casual,4493,3016.605,40.28406409971066
2017-09-04,Member,4564,945.0530555555556,12.424010371019573
2017-09-05,Casual,1474,578.0088888888889,23.528177295341475
2017-09-05,Member,8832,1643.4566666666665,11.164787137681161
2017-09-06,Casual,2510,1271.9063888888888,30.40413678618858
2017-09-06,Member,10938,2095.973611111111,11.497386786127871
2017-09-07,Casual,898,437.1616666666667,29.20902004454343
2017-09-07,Member,5721,1083.4733333333334,11.363118335955253
2017-09-08,Casual,1453,1181.1788888888889,48.775453085570085
2017-09-08,Member,6263,1167.3919444444443,11.183700569482143
2017-09-09,Casual,2764,1780.7497222222223,38.65592739990352
2017-09-09,Member,4020,842.6405555555556,12.576724709784411
2017-09-10,Casual,2760,1625.2894444444444,35.33237922705314
2017-09-10,Member,3941,813.5830555555555,12.386445910513405
2017-09-11,Casual,1382,723.9150000000001,31.429015918958033
2017-09-11,Member,6413,1224.1016666666667,11.452689848744738
2017-09-12,Casual,1377,734.2019444444445,31.991370128298232
2017-09-12,Member,6854,1319.2847222222222,11.549034626981811
2017-09-13,Casual,1393,706.0588888888889,30.411725293132328
2017-09-13,Member,7047,1345.6105555555555,11.456879996215884
2017-09-14,Casual,1492,647.8838888888889,26.054311885612154
2017-09-14,Member,6811,1353.77,11.925737777125239
2017-09-15,Casual,1811,1041.6583333333333,34.511043622308115
2017-09-15,Member,6857,1305.2075,11.420803558407467
2017-09-16,Casual,3499,2976.426388888889,51.0390349623702
2017-09-16,Member,4364,917.3041666666667,12.611881301558205
2017-09-17,Casual,3573,2565.775277777778,43.08606679727586
2017-09-17,Member,4138,909.5266666666666,13.1879168680522
2017-09-18,Casual,1344,788.9633333333334,35.221577380952375
2017-09-18,Member,6599,1288.6466666666668,11.716744961357781
2017-09-19,Casual,1459,847.2188888888888,34.841078364176376
2017-09-19,Member,6837,1304.0927777777777,11.444429818146359
2017-09-20,Casual,1459,771.7663888888889,31.73816541009824
2017-09-20,Member,7211,1372.631111111111,11.421143623168309
2017-09-21,Casual,1475,839.2663888888889,34.139649717514125
2017-09-21,Member,7269,1375.5188888888888,11.353849681294998
2017-09-22,Casual,1811,1137.3802777777778,37.68239462543714
2017-09-22,Member,7070,1448.0605555555555,12.289057048561999
2017-09-23,Casual,3622,2525.281388888889,41.83238082090926
2017-09-23,Member,4337,908.8011111111111,12.572761509491967
2017-09-24,Casual,2999,3203.7058333333334,64.09548182727576
2017-09-24,Member,3909,851.8444444444444,13.07512577811887
2017-09-25,Casual,1395,792.3125,34.07795698924731
2017-09-25,Member,6495,1225.87,11.324434180138569
2017-09-26,Casual,1445,806.4663888888888,33.486493656286044
2017-09-26,Member,6974,1335.877777777778,11.493069496224072
2017-09-27,Casual,1261,589.2605555555555,28.037774253238172
2017-09-27,Member,7037,1283.0258333333334,10.939540997584198
2017-09-28,Casual,943,489.4533333333333,31.1423117709438
2017-09-28,Member,6737,1247.1094444444445,11.10680817376676
2017-09-29,Casual,566,271.63944444444445,28.795700824499413
2017-09-29,Member,5367,969.7888888888889,10.841686851748339
2017-09-30,Casual,1801,1206.355,40.18950583009439
2017-09-30,Member,3898,759.8963888888889,11.696711989054217
2017-10-01,Casual,2157,1445.9322222222222,40.22064595889353
2017-10-01,Member,4409,890.9469444444444,12.124476449686249
2017-10-02,Casual,816,404.05916666666667,29.710232843137256
2017-10-02,Member,7557,1404.921388888889,11.15459618014203
2017-10-03,Casual,1058,525.5691666666667,29.805434782608696
