,Station Intersection,Lat,Lng
480,Bloor GO / UP Station/ Rail Path,43.6580286,-79.4508945
481,Bay St / Davenport Rd,43.6730853,-79.3906658
482,Davenport Rd / Bathurst St,43.6766965,-79.4157557
483,Mill St / Tannery Rd,43.652154,-79.3543446
484,Dundas St W / Edna Ave,43.657274,-79.4526928
485,Danforth Ave / Coxwell Ave,43.6833563,-79.3235888
486,Bridgeman Ave / Bathurst St,43.6743307,-79.4148223
487,Lansdowne Ave / Whytock Ave,43.6538351,-79.4411144
488,Mortimer Ave / Coxwell Ave,43.6905839,-79.326557
489,Danforth Ave / Barrington Ave,43.6884404,-79.3005649
490,Pape Subway Green P,43.6795523,-79.3453774
491,Danforth Ave / Westlake Ave,43.6874331,-79.3052146
492,Woodbine Subway Green P (Cedarvale Ave),43.686833,-79.3110491
493,424 Wellington St W,43.6438342,-79.3966495
494,HTO Park (Queens Quay W),43.6375849,-79.3884382
495,Dundas St W / Yonge St,43.656325,-79.380903
496,Wellesley St E / Yonge St (Green P),43.6689775,-79.3853383
497,College St / Major St,43.6574332,-79.402765
498,Princess St / Adelaide St E,43.6523981,-79.3673842
499,College St / Borden St,43.656965,-79.4051588
500,Beverly St / College St,43.6587134,-79.3958657
501,Widmer St / Adelaide St W,43.6475685,-79.3915765
502,College St / Huron St,43.6582708,-79.3981902
503,Sherbourne St / Wellesley St E,43.6670726,-79.3746546
504,Michael Sweet Ave / St. Patrick St,43.6521354,-79.389317
505,St. George St / Bloor St W,43.6675177,-79.3998186
506,Front St W / Bay St (North Side),43.64613,-79.379295
507,Rusholme Park Cres / College St,43.6529203,-79.4296335
508,Ossington Ave / College St,43.6543876,-79.4226798
509,Front St W / Yonge St (Hockey Hall of Fame),43.6472722,-79.3776902
510,College St / Markham St,43.6562169,-79.4089327
511,Margueretta St / College St,43.651566,-79.437566
512,Lansdowne Subway Green P,43.6610633,-79.4321367
513,College St / Crawford St,43.6551585,-79.4190145
514,Bloor GO / UP Station (West Toronto Railpath),43.6580286,-79.4508945
515,Queen St E / Larchmount Ave,43.6623377,-79.3343085
516,The Royal Ontario Museum (Bloor St Entrance),43.6677097,-79.3947771
517,Spadina Ave / Adelaide St W,43.646761,-79.3954343
518,Dundas St W / St. Patrick St,43.6544805,-79.3903151
519,Lower Spadina Ave / Lake Shore Blvd,43.6385386,-79.3921202
520,Bloor St W / Balmuto St,43.6699957,-79.3880036
521,Roxton Rd / College St,43.6546432,-79.4214687
522,Front St W / Bay St (South Side),43.64613,-79.379295
523,Bloor St W / High Park Ave (High Park),43.6535605,-79.4652644
524,Humber Bay Shores Park East,43.6279083,-79.4756618
525,Lakeshore Blvd W / Ellis Ave,43.6361237,-79.4651582
526,Lakeshore Blvd W / The Boulevard Club,43.6356509,-79.4440176
527,Humber Bay Shores Park West,43.6279083,-79.4756618
528,Sunnyside - Gus Ryder Pool,43.6376543,-79.454552
529,Lake Shore Blvd W / Ontario Dr(Ontario Place),43.6303922,-79.4198324
530,Martin Goodman Trail (Marilyn Bell Park),43.631462,-79.4316385
531,Ward Ave / Wallace Ave,43.6620325,-79.4458421
532,Lake Shore Blvd W / Windermere Ave,43.6352044,-79.4681797
533,High Park Subway Station,43.6538467,-79.4668176
534,Queen St W / Roncesvalles Ave,43.6453349,-79.4131843
535,Toronto Eaton Centre (Yonge St),43.6544382,-79.3806994
536,Garden Ave / Roncesvalles Ave,43.6438041,-79.4474894
537,Queen St W / James St,43.652101,-79.3807098
538,Roncesvalles Ave / Marmaduke St,43.6504594,-79.4506543
539,Exhibition GO Station,43.6358793,-79.4187734
540,Dufferin Gate - SMART,43.634399,-79.425873
541,Queen St W  /  Fuller Ave - SMART,43.6401129,-79.4391036
542,King / Cowan Ave - SMART,43.637922,-79.431734
543,Dundas St W / Roncesvalles Green P - SMART,43.6530279,-79.3969684
544,Parkside Dr / Bloor St W - SMART,43.6547002,-79.4601524
545,Howard Park Ave / Dundas St W - SMART,43.652162,-79.4481727
546,Sorauren/Geoffrey (Sorauren Park) - SMART,43.6486215,-79.4433349
547,Wallace Ave / Symington Ave - SMART,43.6614399,-79.4492708
548,Queen's Park Cres E / Grosvenor St - SMART,43.6617465,-79.3898756
549,St. George St / Russell St - SMART,43.6604579,-79.3969562
550,Tecumseth St / Queen St W - SMART,43.6505077,-79.3878689
551,Baldwin Ave / Spadina Ave - SMART,43.654905,-79.398448
552,Thompson St / Broadview Ave - SMART,43.6595704,-79.3501257
553,Queen St E / Pape Ave - SMART,43.6707498,-79.2976896
554,Dundas St E / Pembroke St - SMART,43.6581648,-79.3724019
555,Bay St / College St (West Side) - SMART,43.6608355,-79.3858556
556,Church St / Dundas St E - SMART,43.656406,-79.3774634
557,Gerrard St E / Broadview - SMART,43.6654635,-79.351462
558,111 Bond St (North of Dundas St E)  - SMART,43.6559949,-79.378397
559,Walton St / Elizabeth St - SMART,43.6577699,-79.3861666
560,John St  / Mercer St - SMART,43.6459532,-79.3894662
561,Rosehill Ave / Avoca Ave - SMART,43.687323,-79.3883309
562,Victoria Park Subway Station - SMART,43.693992,-79.2887774
563,Bay St / Charles St - SMART,43.6682107,-79.3888471
564,Charles St E / Jarvis St - SMART,43.6699532,-79.3798863
565,Charles St W / Balmuto St - SMART,43.668477,-79.3873854
566,Summerhill Ave / MacLennan Ave - SMART,43.6855976,-79.3780841
567,Chorley Park - SMART,43.6860497,-79.3692834
568,Wright / Sorauren (Sorauren Park) - SMART,43.6486215,-79.4433349
569,Yonge St / Dundonald St - SMART,43.6658332,-79.3849316
570,519 Church St - SMART,43.6665315,-79.3809699
571,Borden St / Bloor St W - SMART,43.6656652,-79.4086442
572,Yonge St / Alexander St - SMART,43.6628957,-79.3837219
573,Wychwood Ave / Benson Ave - SMART,43.6805156,-79.4228273
574,Adelaide St W / Bay St - SMART,43.6498929,-79.380774
575,Robert St / Bloor St W - SMART,43.6663621,-79.4053356
576,York St / King St W - SMART,43.648,-79.3834
577,Stewart St / Bathurst St  - SMART,43.6431914,-79.402383
578,Bloor St E / Huntley St - SMART,43.671535,-79.379173
579,Bloor St W / Shaw Ave - SMART,43.662502,-79.4232428
580,Spadina Ave / Harbord St - SMART,43.6630951,-79.4020073
581,Dovercourt Rd / Harrison St - SMART,43.6502288,-79.4250506
582,Vanauley St / Queen St W - SMART,43.6505077,-79.3878689
583,Bloor St W / Manning Ave - SMART,43.6640657,-79.4160863
584,Base Station,43.645195,-79.3806
585,Fringe Next Stage - 7219,43.6581282,-79.3502186
586,,43.653226,-79.3831843
