,Station Intersection,Lat,Lng
113,Bay St / Bloor St W,43.6697157,-79.3894773
114,Danforth Ave / Ellerbeck St,43.676679,-79.356409
115,HTO Park (Queen's Quay W),43.6375849,-79.3884382
116,Church St  / Wood St,43.6628044,-79.3797312
117,Howard St / Sherbourne St,43.6712495,-79.3764212
118,King St E / River St,43.656868,-79.3561681
119,Riverdale Park North (Broadview Ave),43.6707898,-79.3561254
120,Dundonald St / Church St,43.6667003,-79.3813459
121,Queen St W / Shaw St,43.6447019,-79.4162787
122,Queens Park / Bloor St W,43.6687003,-79.3941264
123,St. George St / Hoskin Ave,43.66408,-79.398439
124,Yonge St / Yorkville Ave,43.6719226,-79.3874532
125,Salem Ave / Bloor St W,43.6606625,-79.4316443
126,Elizabeth St / Edward St (Bus Terminal),43.6560524,-79.3846762
127,Metro Hall Plaza,43.6460349,-79.3889609
128,Hanna Ave / Liberty St,43.6385083,-79.4195451
129,Carlton St / Parliament St,43.6644661,-79.3680473
130,Wellesley St / Queen's Park Cres,43.6636082,-79.3906297
131,College St W / Huron St,43.6552194,-79.4138604
132,Strachan Ave / Princes' Blvd,43.634877,-79.4091215
133,Riverdale Park South (Broadview Ave),43.6707898,-79.3561254
134,Parliament St / Gerrard St,43.6619478,-79.3670251
135,Hayter St / Laplante Ave,43.6590542,-79.3859663
136,Bloor St W / Dundas St W,43.6426108,-79.5321603
137,Bloor St / Brunswick Ave,43.6659156,-79.4074539
138,80 Clinton St (North of College),43.6561625,-79.4146192
139,King St W / Bay St (East Side),43.648724,-79.379623
140,Jimmie Simpson Park (Queen St E),43.6612075,-79.3447934
141,Lower Jarvis St / The Esplanade,43.6482109,-79.3709183
142,Rusholme Park Cres / College St W,43.6529203,-79.4296335
143,Queens Quay W / Lower Simcoe St,43.6395925,-79.3827816
144,Euclid Ave / Bloor St W,43.664332,-79.4148618
145,Huron/ Harbord St,43.663502,-79.4000499
146,Exhibition GO (Atlantic Ave),43.6358793,-79.4187734
147,Willcocks St / St. George St,43.66208,-79.397606
148,Fort York Blvd / Garrison Rd,43.638522,-79.4009854
149,Cherry St / Mill St,43.6513499,-79.3573594
150,Christie St / Benson Ave (Wychwood Barns),43.6799824,-79.4240684
151,Macpherson Ave / Spadina Rd,43.6758521,-79.4074745
152,King St W / Douro St,43.641106,-79.4166062
