,Date,avg_temp,avg_rain,weather_main
0,2017-01-01,274.44074074074075,0.08888888888888889,Clear
1,2017-01-02,273.1570833333332,0.0,Clouds
2,2017-01-03,276.6217307692308,0.30576923076923096,Mist
3,2017-01-04,274.65421052631575,0.20526315789473676,Rain
4,2017-01-05,265.95166666666665,0.0,Snow
5,2017-01-06,263.22083138333335,0.0,Clear
6,2017-01-07,262.1508339833334,0.075,Clear
7,2017-01-08,262.81874999999997,0.075,Snow
8,2017-01-09,265.65479875200003,0.10800000000000001,Snow
9,2017-01-10,272.2783870967742,0.164516129032258,Snow
10,2017-01-11,277.26625,0.14999999999999997,Clear
11,2017-01-12,277.7218918918919,0.5270270270270271,Mist
12,2017-01-13,270.78538461538466,0.2076923076923077,Clouds
13,2017-01-14,266.0658333333333,0.0,Clouds
14,2017-01-15,269.40125,0.0,Clouds
15,2017-01-16,270.8916666666667,0.0,Clear
16,2017-01-17,273.69930232558147,0.30000000000000016,Mist
17,2017-01-18,274.8370454545455,0.15681818181818177,Mist
18,2017-01-19,275.69612903225806,0.0,Mist
19,2017-01-20,275.67499999999984,0.10588235294117644,Mist
20,2017-01-21,276.5644444444444,0.0,Mist
21,2017-01-22,277.1134090909091,0.07499999999999998,Mist
22,2017-01-23,275.9286666666667,0.02,Clouds
23,2017-01-24,273.746625,0.0,Clouds
24,2017-01-25,272.9239999999999,0.024999999999999998,Clouds
25,2017-01-26,275.95225000000005,0.27000000000000013,Mist
26,2017-01-27,274.1203571428572,0.11785714285714284,Clouds
27,2017-01-28,272.18541666666664,0.0,Snow
28,2017-01-29,270.5366666666667,0.0,Snow
29,2017-01-30,265.5904166666666,0.075,Snow
30,2017-01-31,267.83291666666673,0.0,Snow
31,2017-02-01,271.165172413793,0.05172413793103448,Snow
32,2017-02-02,269.9607407407408,0.13333333333333333,Snow
33,2017-02-03,266.69692307692304,0.17307692307692307,Snow
34,2017-02-04,267.0424,0.07200000000000001,Snow
35,2017-02-05,271.5023461538462,0.04615384615384615,Snow
36,2017-02-06,270.6068,0.024,Snow
37,2017-02-07,272.69944444444445,0.18333333333333326,Clouds
38,2017-02-08,273.3290624999999,0.14062499999999997,Snow
39,2017-02-09,265.00758333333334,0.0,Clouds
