,Station Intersection,Lat,Lng
179,Bridgeman Ave / Kendal Ave,,
180,Claremont St / Dundas St W,,
181,Taddle Creek Park,,
182,Bloor GO / UP Station/ Rail Path,,
183,Stephenson Ave / Main St,,
184,Essex St / Christie St,,
185,Bridgeman Ave / Bathurst St,,
186,Dufferin St / Bloor St,,
187,Mill St / Tannery Rd,,
188,Davenport Rd / Christie St,,
189,Landsdowne Subway Green P,,
190,Davenport Rd / Bathurst St,,
191,Dundas St W / Edna Ave,,
192,Yonge St / Aylmer Ave,,
193,Marlborough Ave / Yonge St,,
194,Mortimer Ave / Coxwell Ave,,
195,Woodbine Subway Green P (Cedarvale Ave),,
196,Danforth Ave / Coxwell Ave,,
197,Danforth Ave / Barrington Ave,,
198,Danforth Ave / Westlake Ave,,
199,Lansdowne Ave / Whytock Ave,,
200,Princess St / Adelaide St E,,
201,Widmer St / Adelaide St W,,
202,Michael Sweet Ave / St. Patrick St,,
203,Sherbourne St / Wellesley St E,,
204,HTO Park (Queens Quay W),,
205,College St / Major St,,
206,Beverly St / College St,,
207,College St / Huron St,,
208,Ossington Ave / College St,,
209,College St / Markham St,,
210,Wellesley St E / Yonge St (Green P),,
211,St. George St / Bloor St W,,
212,College St / Borden St,,
213,424 Wellington St W,,
214,Margueretta St / College St,,
215,Lansdowne Subway Green P,,
216,Dundas St W / Yonge St,,
217,Front St W / Yonge St (Hockey Hall of Fame),,
218,Bloor GO / UP Station (West Toronto Railpath),,
219,Front St W / Bay St (North Side),,
220,College St / Crawford St,,
221,Rusholme Park Cres / College St,,
222,Queen St E / Larchmount Ave,,
223,The Royal Ontario Museum (Bloor St Entrance),,
224,Spadina Ave / Adelaide St W,,
225,Dundas St W / St. Patrick St,,
226,Front St W / Bay St (South Side),,
227,Lower Spadina Ave / Lake Shore Blvd,,
228,Bloor St W / Balmuto St,,
229,Roxton Rd / College St,,
230,Bloor St W / High Park Ave (High Park),,
231,Base Station,,
232,Humber Bay Shores Park East,,
233,Lakeshore Blvd W / Ellis Ave,,
234,Lakeshore Blvd W / The Boulevard Club,,
235,Ward Ave / Wallace Ave,,
236,Humber Bay Shores Park West,,
237,Lake Shore Blvd W / Ontario Dr(Ontario Place),,
238,Sunnyside - Gus Ryder Pool,,
239,Martin Goodman Trail (Marilyn Bell Park),,
240,High Park Subway Station,,
241,Queen St W / Roncesvalles Ave,,
242,Lake Shore Blvd W / Windermere Ave,,
243,Toronto Eaton Centre (Yonge St),,
244,Queen St W / James St,,
245,Roncesvalles Ave / Marmaduke St,,
246,Garden Ave / Roncesvalles Ave,,
247,Dufferin Gate - SMART,,
248,Queen St W  /  Fuller Ave - SMART,,
249,Dundas St W / Roncesvalles Green P - SMART,,
250,Sorauren/Geoffrey (Sorauren Park) - SMART,,
251,Howard Park Ave / Dundas St W - SMART,,
252,Wallace Ave / Symington Ave - SMART,,
253,St. George St / Russell St - SMART,,
254,Tecumseth St / Queen St W - SMART,,
255,Parkside Dr / Bloor St W - SMART,,
256,Thompson St / Broadview Ave - SMART,,
257,Dundas St E / Pembroke St - SMART,,
258,Baldwin Ave / Spadina Ave - SMART,,
259,Queen's Park Cres E / Grosvenor St - SMART,,
260,Bay St / College St (West Side) - SMART,,
261,Gerrard St E / Broadview - SMART,,
262,King / Cowan Ave - SMART,,
263,Church St / Dundas St E - SMART,,
264,Queen St E / Pape Ave - SMART,,
265,Walton St / Elizabeth St - SMART,,
266,Rosehill Ave / Avoca Ave - SMART,,
267,111 Bond St (North of Dundas St E)  - SMART,,
268,John St  / Mercer St - SMART,,
269,Victoria Park Subway Station - SMART,,
270,Bay St / Charles St - SMART,,
271,Charles St W / Balmuto St - SMART,,
272,Charles St E / Jarvis St - SMART,,
273,Chorley Park - SMART,,
274,Wright / Sorauren (Sorauren Park) - SMART,,
275,Yonge St / Dundonald St - SMART,,
276,519 Church St - SMART,,
277,Borden St / Bloor St W - SMART,,
278,Stewart St / Bathurst St  - SMART,,
279,Bloor St E / Huntley St - SMART,,
280,Wychwood Ave / Benson Ave - SMART,,
281,Yonge St / Alexander St - SMART,,
282,Adelaide St W / Bay St - SMART,,
283,Bloor St W / Manning Ave - SMART,,
284,Robert St / Bloor St W - SMART,,
285,York St / King St W - SMART,,
286,Spadina Ave / Harbord St - SMART,,
287,Dovercourt Rd / Harrison St - SMART,,
288,Vanauley St / Queen St W - SMART,,
289,Summerhill Ave / MacLennan Ave - SMART,,
290,Bloor St W / Shaw Ave - SMART,,
291,Exhibition GO Station,,
292,Fringe Next Stage - 7219,,
293,Church St  / Wood St,,
294,Bathurst Subway Station,,
295,College St W / Markham St,,
296,King St W / Spadina Ave,,
297,University Ave / Gerrard St W,,
298,Niagara St / Richmond St W,,
299,Bathurst St / Fort York Blvd,,
300,Bathurst St / Dundas St W,,
301,Lower Sherbourne St / The Esplanade,,
302,University Ave / King St W,,
303,Bay St / Queens Quay W (Ferry Terminal),,
304,25 York St (ACC/Union Station South),,
305,King St W / Stafford St,,
306,Princess St / Adelaide St,,
307,East Liberty St / Pirandello St,,
308,Union Station,,
309,Victoria St / Gould St (Ryerson University),,
310,Dundas St E / Parliament St,,
311,Dundas St / Yonge St,,
312,Jarvis St / Isabella St,,
313,Navy Wharf Ct. / Bremner Blvd.,,
314,Edward St / Yonge St,,
315,Bond St / Queen St E,,
316,Queens Quay W / Lower Simcoe St,,
317,Queen St W / Portland St,,
318,Rusholme Park Cres / College St W,,
319,Fort York  Blvd / Capreol Crt,,
320,80 Clinton St (North of College),,
321,Yonge St / Wood St,,
322,Queen St W / Dovercourt Rd,,
323,Seaton St / Dundas St E,,
324,Church St / Alexander St,,
325,Euclid Ave / Bloor St W,,
326,Sherbourne St / Wellesley St,,
327,Dundonald St / Church St,,
328,Bay St / College St (East Side),,
329,Queen St W / Shaw St,,
330,Boston Ave / Queen St E,,
331,Simcoe St / Dundas St W,,
332,Simcoe St / Wellington St W,,
333,Strachan Ave / Princes' Blvd,,
334,Queen St W / Spadina Ave,,
335,Queen St E / George St (Moss Park),,
336,Beverly  St / Dundas St W,,
337,Dundas St W / Crawford St,,
338,Bay St / Albert St,,
339,King St W / Fraser Ave,,
340,Queen St W / York St (City Hall),,
341,424 Wellington St. W,,
342,Madison Ave / Bloor St W,,
343,Bloor St / Brunswick Ave,,
344,Nelson St / Duncan St,,
345,Simcoe St / Queen St W,,
346,Richmond St E / Jarvis St Green P,,
347,Temperance St / Yonge St,,
348,Bremner Blvd / Rees St,,
349,King St W / Douro St,,
350,Front St E / Cherry St,,
351,Bay St / St. Joseph St,,
352,Bremner Blvd / Spadina Ave,,
353,King St W / Tecumseth St,,
354,Augusta Ave / Denison Sq,,
355,Dundas St E / Regent Park Blvd,,
356,Queen St W / Gladstone Ave,,
357,Wellington St W / Portland St,,
358,Howard St / Sherbourne St,,
359,Queen St E / Berkely St,,
360,Wellesley St E / Yonge St Green P,,
361,Widmer St / Adelaide St ,,
362,Bloor St W / Christie St,,
363,College St W / Borden St,,
364,Liberty St / Fraser Ave Green P,,
365,Front St W / Blue Jays Way,,
366,Gould St / Mutual St,,
367,Ted Rogers Way / Bloor St E,,
368,Church St / Bloor St E,,
369,Jarvis St / Dundas St E,,
370,Bathurst St / Queens Quay W,,
371,Metro Hall Plaza,,
372,College Park South,,
373,Elizabeth St / Edward St (Bus Terminal),,
374,Queens Quay / Yonge St,,
375,King St E / River St,,
376,Trinity St /Front St E,,
377,Ontario Place Blvd / Remembrance Dr,,
378,Dockside Dr / Queens Quay E (Sugar Beach),,
379,Exhibition GO (Atlantic Ave),,
380,HTO Park (Queen's Quay W),,
381,University Ave / College St,,
382,Summerhill Station,,
383,Parliament St / Bloor St E,,
384,Jarvis St / Carlton St,,
385,Augusta Ave / Dundas St W,,
386,Queen St W / Ossington Ave,,
387,Castle Frank Station,,
388,Cariboo St / Rail Path,,
389,Hanna Ave / Liberty St,,
390,Bay St / Bloor St W,,
391,King St W / Bay St (East Side),,
392,King St E / Jarvis St,,
