address1,address2
Fort York Blvd , Garrison Rd
Queen St E , George St 
Queen St E , George St 
Parliament St , Gerrard St
Parliament St , Gerrard St
University Ave , Gerrard St W
University Ave , Gerrard St W
Queen St W , Gladstone Ave
Queen St W , Gladstone Ave
Danforth Ave , Gough Ave
Danforth Ave , Gough Ave
Victoria St , Gould St
Victoria St , Gould St 
Queen's Park Cres E , Grosvenor St 
Queen's Park Cres E , Grosvenor St 
Roxton Rd , Harbord St
Huron, Harbord St
Roxton Rd , Harbord St
Huron, Harbord St
Spadina Ave , Harbord St 
Spadina Ave , Harbord St 
Yonge St , Harbour St
Yonge St , Harbour St
Ossington Ave , Harrison St
Ossington Ave , Harrison St
Dovercourt Rd , Harrison St 
Dovercourt Rd , Harrison St 
Bloor St W , High Park Ave 
Bloor St W , High Park Ave 
St. George St , Hoskin Ave
St. George St , Hoskin Ave
Bloor St E , Huntley St 
Bloor St E , Huntley St 
College St W , Huron St
College St , Huron St
College St W , Huron St
College St , Huron St
Jarvis St , Isabella St
Jarvis St , Isabella St
Queen St W , James St
Queen St W , James St
King St E , Jarvis St
King St E , Jarvis St
Charles St E , Jarvis St 
Charles St E , Jarvis St 
Richmond St E , Jarvis St Green P
Richmond St E , Jarvis St Green P
King St W , Joe Shuster Way
King St W , Joe Shuster Way
Bridgeman Ave , Kendal Ave
Bridgeman Ave , Kendal Ave
University Ave , King St W
University Ave , King St W
York St , King St W 
York St , King St W 
Lower Spadina Ave , Lake Shore Blvd
Lower Spadina Ave , Lake Shore Blvd
Danforth Ave , Lamb Ave
Danforth Ave , Lamb Ave
Hayter St , Laplante Ave
Hayter St , Laplante Ave
Queen St E , Larchmount Ave
Queen St E , Larchmount Ave
Bathurst St , Lennox St
Bathurst St , Lennox St
Hanna Ave , Liberty St
Hanna Ave , Liberty St
Queens Quay W , Lower Simcoe St
Queens Quay W , Lower Simcoe St
Summerhill Ave , MacLennan Ave 
Summerhill Ave , MacLennan Ave 
Stephenson Ave , Main St
Stephenson Ave , Main St
College St W , Major St
College St , Major St
College St W , Major St
College St , Major St
Bloor St W , Manning Ave 
Bloor St W , Manning Ave 
College St W , Markham St
College St , Markham St
College St W , Markham St
College St , Markham St
Roncesvalles Ave , Marmaduke St
Roncesvalles Ave , Marmaduke St
John St  , Mercer St 
John St  , Mercer St 
Cherry St , Mill St
Cherry St , Mill St
Gould St , Mutual St
Gould St , Mutual St
Lake Shore Blvd W , Ontario Dr
Lake Shore Blvd W , Ontario Dr
Queen St W , Ossington Ave
Queen St W , Ossington Ave
Queen St E , Pape Ave 
Queen St E , Pape Ave 
Dundas St E , Parliament St
Carlton St , Parliament St
Dundas St E , Parliament St
Carlton St , Parliament St
Dundas St E , Pembroke St 
Dundas St E , Pembroke St 
East Liberty St , Pirandello St
East Liberty St , Pirandello St
Wellington St W , Portland St
Queen St W , Portland St
Queen St W , Portland St
Wellington St W , Portland St
Strachan Ave , Princes' Blvd
Strachan Ave , Princes' Blvd
Bond St , Queen St E
Boston Ave , Queen St E
Bond St , Queen St E
Boston Ave , Queen St E
Simcoe St , Queen St W
Simcoe St , Queen St W
Tecumseth St , Queen St W 
Vanauley St , Queen St W 
Tecumseth St , Queen St W 
Vanauley St , Queen St W 
Wellesley St , Queen's Park Cres
Wellesley St , Queen's Park Cres
Dockside Dr , Queens Quay E 
Dockside Dr , Queens Quay E 
Bathurst St , Queens Quay W
York St , Queens Quay W
Bathurst St , Queens Quay W
York St , Queens Quay W
Bay St , Queens Quay W 
Bay St , Queens Quay W 
Cariboo St , Rail Path
Cariboo St , Rail Path
Bremner Blvd , Rees St
Bremner Blvd , Rees St
Dundas St E , Regent Park Blvd
Dundas St E , Regent Park Blvd
Ontario Place Blvd , Remembrance Dr
Ontario Place Blvd , Remembrance Dr
Niagara St , Richmond St W
Niagara St , Richmond St W
Gerrard St E , River St
King St E , River St
King St E , River St
Gerrard St E , River St
Dundas St W , Roncesvalles 
Queen St W , Roncesvalles Ave
Garden Ave , Roncesvalles Ave
Queen St W , Roncesvalles Ave
Garden Ave , Roncesvalles Ave
Dundas St W , Roncesvalles Green P 
St. George St , Russell St 
St. George St , Russell St 
Queen St E , Sackville St
Queen St E , Sackville St
Bloor St W , Shaw Ave 
Bloor St W , Shaw Ave 
Queen St W , Shaw St
Queen St W , Shaw St
Howard St , Sherbourne St
Howard St , Sherbourne St
Wright , Sorauren 
Wright , Sorauren 
Bremner Blvd , Spadina Ave
Phoebe St , Spadina Ave
Queen St W , Spadina Ave
King St W , Spadina Ave
King St W , Spadina Ave
Queen St W , Spadina Ave
Bremner Blvd , Spadina Ave
Phoebe St , Spadina Ave
Baldwin Ave , Spadina Ave 
Baldwin Ave , Spadina Ave 
Macpherson Ave , Spadina Rd
Kendal Ave , Spadina Rd
Kendal Ave , Spadina Rd
Macpherson Ave , Spadina Rd
Willcocks St , St. George St
Willcocks St , St. George St
Bay St , St. Joseph St
Bay St , St. Joseph St
Michael Sweet Ave , St. Patrick St
Dundas St W , St. Patrick St
Michael Sweet Ave , St. Patrick St
Dundas St W , St. Patrick St
King St W , Stafford St
Wellington St W , Stafford St
King St W , Stafford St
Wellington St W , Stafford St
Spadina Ave , Sussex Ave
Spadina Ave , Sussex Ave
Dufferin St , Sylvan Av 
Dufferin St , Sylvan Av 
Wallace Ave , Symington Ave 
Wallace Ave , Symington Ave 
Mill St , Tannery Rd
Mill St , Tannery Rd
King St W , Tecumseth St
Niagara St , Tecumseth St
King St W , Tecumseth St
Niagara St , Tecumseth St
Lakeshore Blvd W , The Boulevard Club
Lakeshore Blvd W , The Boulevard Club
Scott St , The Esplanade
Lower Sherbourne St , The Esplanade
Lower Jarvis St , The Esplanade
Lower Sherbourne St , The Esplanade
Scott St , The Esplanade
Lower Jarvis St , The Esplanade
Bloor GO , UP Station
Bloor GO , UP Station
Bloor GO , UP Station
Bloor GO , UP Station 
Palmerston Ave , Vermont Ave
Palmerston Ave , Vermont Ave
Ward Ave , Wallace Ave
