,0
307,Princess St 
308,East Liberty St 
309,Union Station
310,Victoria St 
311,Dundas St E 
312,Dundas St 
313,Jarvis St 
314,Navy Wharf Ct. 
315,Edward St 
316,Bond St 
317,Queens Quay W 
318,Queen St W 
319,Rusholme Park Cres 
320,Fort York  Blvd 
321,80 Clinton St (North of College)
322,Yonge St 
323,Queen St W 
324,Seaton St 
325,Church St 
326,Euclid Ave 
327,Sherbourne St 
328,Dundonald St 
329,Bay St 
330,Queen St W 
331,Boston Ave 
332,Simcoe St 
333,Simcoe St 
334,Strachan Ave 
335,Queen St W 
336,Queen St E 
337,Beverly  St 
338,Dundas St W 
339,Bay St 
340,King St W 
341,Queen St W 
342,424 Wellington St. W
343,Madison Ave 
344,Bloor St 
345,Nelson St 
346,Simcoe St 
347,Richmond St E 
348,Temperance St 
349,Bremner Blvd 
350,King St W 
351,Front St E 
352,Bay St 
353,Bremner Blvd 
354,King St W 
355,Augusta Ave 
356,Dundas St E 
357,Queen St W 
358,Wellington St W 
359,Howard St 
360,Queen St E 
361,Wellesley St E 
362,Widmer St 
363,Bloor St W 
364,College St W 
365,Liberty St 
366,Front St W 
367,Gould St 
368,Ted Rogers Way 
369,Church St 
370,Jarvis St 
371,Bathurst St 
372,Metro Hall Plaza
373,College Park South
374,Elizabeth St 
375,Queens Quay 
376,King St E 
377,Trinity St 
378,Ontario Place Blvd 
379,Dockside Dr 
380,Exhibition GO (Atlantic Ave)
381,HTO Park (Queen's Quay W)
382,University Ave 
383,Summerhill Station
384,Parliament St 
385,Jarvis St 
386,Augusta Ave 
387,Queen St W 
388,Castle Frank Station
389,Cariboo St 
390,Hanna Ave 
391,Bay St 
392,King St W 
393,King St E 
394,Riverdale Park North (Broadview Ave)
395,Beverly St 
396,College St W 
397,Queens Quay W 
398,Scott St 
399,161 Bleecker St (South of Wellesley)
400,Phoebe St 
401,University Ave 
402,Niagara St 
403,Chester Station
404,Wellesley St 
405,Queens Park 
406,Front St 
407,Yonge St 
408,College St W 
409,Ulster St 
410,Danforth Ave 
411,St George St 
412,Sumach St 
413,Lower Jarvis St 
414,York St 
415,Parliament St 
416,Kendal Ave 
417,Sherbourne St 
418,Gerrard St E 
419,Riverdale Park South (Broadview Ave)
420,Roxton Rd 
421,Queen St W 
