0
Wellesley St E / Yonge St Green P
Kendal Ave / Bernard Ave
Parliament St / Aberdeen Ave
College Park South
McGill St / Church St
Bay St / Albert St
Beverly St / College St W
Ulster St / Bathurst St
Widmer St / Adelaide St 
King St E / Jarvis St
Augusta Ave / Dundas St W
East Liberty St / Pirandello St
Bond St / Queen St E
King St W / Stafford St
Simcoe St / Queen St W
Gould St / Mutual St
Dundas St / Yonge St
Davenport Rd / Bedford Rd
Sherbourne St / Wellesley St
King St W / Tecumseth St
University Ave / Elm St
Yonge St / Wood St
Victoria St / Gould St (Ryerson University)
Richmond St E / Jarvis St Green P
Summerhill Station
Harbord St / Clinton St
25 York St (ACC/Union Station South)
Front St W / Blue Jays Way
University Ave / Gerrard St W
College St W / Borden St
Bremner Blvd / Spadina Ave
Navy Wharf Ct. / Bremner Blvd.
Dundas St E / Parliament St
Niagara St / Tecumseth St
Chester Station
Union Station
Church St / Bloor St E
Palmerston Ave / Vermont Ave
Queen St W / York St (City Hall)
Danforth Ave / Gough Ave
Simcoe St / Dundas St W
Bay St / College St (East Side)
University Ave / King St W
Simcoe St / Wellington St W
Bay St / St. Joseph St
Niagara St / Richmond St W
Front St / Yonge St (Hockey Hall of Fame)
Bathurst St / Queens Quay W
Queen St W / Gladstone Ave
Madison Ave / Bloor St W
Fort York  Blvd / Capreol Crt
College St W / Major St
Church St / Alexander St
Dundas St E / Regent Park Blvd
Front St / Bay St (North Side)
King St W / Bay St (West Side)
Queens Quay / Yonge St
Temperance St / Yonge St
King St W / Fraser Ave
Bay St / Davenport Rd
Wellington St W / Portland St
Seaton St / Dundas St E
Dundas St W / Crawford St
Princess St / Adelaide St
Queen St W / Close Ave
Wellington St W / Bay St
Jarvis St / Isabella St
Bloor St W / Christie St
Queen St W / Ossington Ave
Beverly  St / Dundas St W
Nelson St / Duncan St
Bay St / Queens Quay W (Ferry Terminal)
Queen St W / Dovercourt Rd
Queens Quay W / Dan Leckie Way
Scott St / The Esplanade
Bathurst St / Dundas St W
St George St / Bloor St W
Bay St / Wellesley St W
Phoebe St / Spadina Ave
Lower Sherbourne St / The Esplanade
Roxton Rd / Harbord St
Yonge St / Harbour St
51 Parliament St
Gerrard St E / River St
424 Wellington St. W
Ontario Place Blvd / Remembrance Dr
King St W / Joe Shuster Way
Dockside Dr / Queens Quay E (Sugar Beach)
Sherbourne St / Carlton St (Allan Gardens)
Queen St W / Portland St
Wellington St W / Stafford St
College St W / Crawford St
Bathurst St / Fort York Blvd
Jarvis St / Dundas St E
Spadina Ave / Sussex Ave
Jarvis St / Carlton St
York St / Queens Quay W
Parliament St / Bloor St E
Mary McCormick Rec Centre (Sheridan Ave)
Edward St / Yonge St
Danforth Ave / Aldridge Ave
Bremner Blvd / Rees St
Queen St W / Spadina Ave
College St W / Markham St
Queen St E / George St (Moss Park)
Castle Frank Station
Cariboo St / Rail Path
Yarmouth Rd / Christie St
Augusta Ave / Denison Sq
Trinity St /Front St E
Ted Rogers Way / Bloor St E
Davenport Rd / Avenue Rd
King St W / Spadina Ave
Bay St / Bloor St W
Danforth Ave / Ellerbeck St
HTO Park (Queen's Quay W)
Church St  / Wood St
Howard St / Sherbourne St
King St E / River St
Riverdale Park North (Broadview Ave)
Dundonald St / Church St
Queen St W / Shaw St
Queens Park / Bloor St W
St. George St / Hoskin Ave
Yonge St / Yorkville Ave
Salem Ave / Bloor St W
Elizabeth St / Edward St (Bus Terminal)
Metro Hall Plaza
Hanna Ave / Liberty St
Carlton St / Parliament St
Wellesley St / Queen's Park Cres
College St W / Huron St
Strachan Ave / Princes' Blvd
Riverdale Park South (Broadview Ave)
Parliament St / Gerrard St
Hayter St / Laplante Ave
Bloor St W / Dundas St W
Bloor St / Brunswick Ave
80 Clinton St (North of College)
King St W / Bay St (East Side)
Jimmie Simpson Park (Queen St E)
Lower Jarvis St / The Esplanade
Rusholme Park Cres / College St W
Queens Quay W / Lower Simcoe St
Euclid Ave / Bloor St W
Huron/ Harbord St
Exhibition GO (Atlantic Ave)
Willcocks St / St. George St
Fort York Blvd / Garrison Rd
Cherry St / Mill St
Christie St / Benson Ave (Wychwood Barns)
Macpherson Ave / Spadina Rd
King St W / Douro St
Glen Edyth Dr / Davenport Rd
161 Bleecker St (South of Wellesley)
Sumach St / Carlton St. (Riverdale Farm)
Front St E / Cherry St
Cherry St / Distillery Ln
Queen St E / Berkely St
University Ave / College St
Queen St E / Sackville St
Danforth Ave / Lamb Ave
Pape Subway Green P
Margueretta St / College St W
Bathurst St / Lennox St
Central Tech  (Harbord St)
Ossington Ave / College St W
Sterling Rd / Dundas St W
Kendal Ave / Spadina Rd
Spadina Ave / Willcocks St
Donlands Station
Queen St W / Cowan Ave
Dufferin St / Sylvan Av (Dufferin Grove Park)
Ossington Ave / Harrison St
Dundas St E / Broadview Ave
Ossington Ave / Bloor St W
Boston Ave / Queen St E
Bathurst Subway Station
Liberty St / Fraser Ave Green P
Bridgeman Ave / Kendal Ave
Claremont St / Dundas St W
Taddle Creek Park
Bloor GO / UP Station/ Rail Path
Stephenson Ave / Main St
Essex St / Christie St
Bridgeman Ave / Bathurst St
