,Date,Time,temp,weather_main,rain_1h,rain_3h,rain_24h,rain_today
38538,2017-01-04,00:00:00,276.98,Fog,0.3,,,
38539,2017-01-04,01:00:00,276.71,Rain,0.3,,,
38540,2017-01-04,01:00:00,276.71,Mist,0.3,,,
38541,2017-01-04,02:00:00,276.15,Rain,0.3,,,
38542,2017-01-04,02:00:00,276.15,Mist,0.3,,,
38543,2017-01-04,02:00:00,276.15,Drizzle,0.3,,,
38544,2017-01-04,03:00:00,276.2,Drizzle,0.3,,,
38545,2017-01-04,03:00:00,276.2,Mist,0.3,,,
38546,2017-01-04,03:00:00,276.2,Rain,0.3,,,
38547,2017-01-04,04:00:00,275.35,Rain,0.3,,,
38548,2017-01-04,04:00:00,275.35,Mist,0.3,,,
38549,2017-01-04,04:00:00,275.35,Drizzle,0.3,,,
38550,2017-01-04,05:00:00,275.42,Rain,0.3,,,
38551,2017-01-04,05:00:00,275.42,Mist,0.3,,,
38552,2017-01-04,06:00:00,275.39,Clouds,,,,
38553,2017-01-04,07:00:00,275.4,Rain,0.3,,,
38554,2017-01-04,08:00:00,275.13,Rain,0.3,,,
38555,2017-01-04,08:00:00,275.13,Mist,0.3,,,
38556,2017-01-04,09:00:00,275.6,Rain,0.3,,,
38557,2017-01-04,09:00:00,275.6,Mist,0.3,,,
38558,2017-01-04,10:00:00,276.16,Rain,0.3,,,
38559,2017-01-04,10:00:00,276.16,Mist,0.3,,,
38560,2017-01-04,11:00:00,275.62,Clouds,,,,
38561,2017-01-04,12:00:00,275.65,Clouds,,,,
38562,2017-01-04,13:00:00,275.93,Rain,0.3,,,
38563,2017-01-04,14:00:00,275.37,Rain,0.3,,,
38564,2017-01-04,14:00:00,275.37,Snow,0.3,,,
38565,2017-01-04,15:00:00,275.36,Clouds,,,,
38566,2017-01-04,16:00:00,274.75,Clouds,,,,
38567,2017-01-04,17:00:00,272.59,Snow,,,,
38568,2017-01-04,18:00:00,270.98,Snow,,,,
38569,2017-01-04,19:00:00,270.17,Snow,,,,
38570,2017-01-04,20:00:00,269.15,Snow,,,,
38571,2017-01-04,21:00:00,268.33,Snow,,,,
38572,2017-01-04,22:00:00,267.74,Snow,,,,
38573,2017-01-04,23:00:00,266.98,Snow,,,,
38574,2017-01-05,00:00:00,266.75,Snow,,,,
38575,2017-01-05,01:00:00,266.19,Snow,,,,
38576,2017-01-05,02:00:00,265.76,Snow,,,,
38577,2017-01-05,03:00:00,265.55,Snow,,,,
38578,2017-01-05,04:00:00,265.12,Clouds,,,,
38579,2017-01-05,05:00:00,265.14,Snow,,,,
38580,2017-01-05,06:00:00,265.14,Snow,,,,
38581,2017-01-05,07:00:00,265.14,Snow,,,,
38582,2017-01-05,08:00:00,265.88,Snow,,,,
38583,2017-01-05,09:00:00,266.11,Snow,,,,
38584,2017-01-05,10:00:00,266.14,Snow,,,,
38585,2017-01-05,11:00:00,266.39,Snow,,,,
38586,2017-01-05,12:00:00,266.38,Snow,,,,
38587,2017-01-05,13:00:00,265.34,Clouds,,,,
38588,2017-01-05,14:00:00,265.33,Snow,,,,
38589,2017-01-05,15:00:00,265.56,Snow,,,,
38590,2017-01-05,16:00:00,266.15,Snow,,,,
38591,2017-01-05,17:00:00,266.37,Clouds,,,,
38592,2017-01-05,18:00:00,266.77,Clouds,,,,
38593,2017-01-05,19:00:00,266.78,Snow,,,,
38594,2017-01-05,20:00:00,266.74,Snow,,,,
38595,2017-01-05,21:00:00,266.55,Snow,,,,
38596,2017-01-05,22:00:00,265.97,Snow,,,,
38597,2017-01-05,23:00:00,265.59,Snow,,,,
38598,2017-01-06,00:00:00,265.17,Snow,,,,
38599,2017-01-06,01:00:00,265.16,Snow,,,,
38600,2017-01-06,02:00:00,264.56,Clear,,,,
38601,2017-01-06,03:00:00,264.16,Clear,,,,
38602,2017-01-06,04:00:00,262.9,Clear,,,,
38603,2017-01-06,05:00:00,262.9,Clear,,,,
38604,2017-01-06,06:00:00,261.9,Clear,,,,
38605,2017-01-06,07:00:00,261.9,Clear,,,,
38606,2017-01-06,08:00:00,261.9,Clear,,,,
38607,2017-01-06,09:00:00,261.9,Clear,,,,
38608,2017-01-06,10:00:00,260.9,Clear,,,,
38609,2017-01-06,11:00:00,260.9,Clear,,,,
38610,2017-01-06,12:00:00,260.63,Clear,,,,
